Резюме,Профессия,Обязанности,predict
595,специалист видеонаблюдения,"- осуществление видеонаблюдения
- контроль за въездом и выездом автотранспорта
",секретарь незрячего специалиста
595,начальник службы безопасности,"- организация работы по охране и физической защиты объектов, материальных ценностей от противоправных посягательств
- осуществлять внезапные ночные проверки несения службы
- подбор сотрудников для охраны
- проводить работу по оперативному взаимодействию с правоохранительными органами по обеспечению надежности охраны
- еженедельно подводить итоги несения службы
",специалист по промышленной безопасности подъемных сооружений
595,начальник участка водоснабжения,"-обеспечение бесперебойной работы транспорта, своевременное проведение ТО
- планирование и проведение ремонтных работ
- организация закупок запчастей",начальник цеха (участка)
595,сотрудник отдела по предотвращению внештатных ситуаций (опвс),"- обеспечение безопасности посетителей и сотрудников 
  ГМ, сохранности ТМЦ, минимизация известных и 
  неизвестных потерь
- следить за исправностью всех технических систем 
  безопасности (пожарного, холодильного, 
  противопожарного оборудования
- контроль за проведением пожароопасных работ
- предотвращать хищения ТМЦ посетителями, а также 
  сотрудниками ГМ путем видеонаблюдения и 
  патрулирования
- контролировать соблюдение правил поставки товара
- контроль за соблюдением сотрудниками внутреннего 
  распорядка и соблюдением техники безопасности при 
  работе с техническими средствами
- участие в инвентаризации, обеспечивать правильную 
  организацию процесса инвентаризации",начальник инструментального отдела
595,специалист отдела контроля склада,"- осуществление видеонаблюдения
- контроль за въездом и выездом автотранспорта
- проводить выборочную проверку количества и качества 
  сбора заказов, выполняемых кладовщиками
- проводить выборочную проверку сотрудников на 
  предмет несанкционированного присвоения товара.",начальник отдела контроля качества
595,помощник руководителя (начальник службы охраны),"- организация работы по охране и физической защиты объектов, материальных ценностей от противоправных посягательств
- осуществлять внезапные ночные проверки несения службы
- подбор сотрудников для охраны
- проводить работу по оперативному взаимодействию с правоохранительными органами по обеспечению надежности охраны
- еженедельно подводить итоги несения службы",руководитель службы охраны труда
595,менеджер по продажам услуг,"- ведение документооборота, проверка отчетов у агентов, 
  формирование и  закрытие отчетов по итогам месяца
- сопровождение сделок.",менеджер
595,главный механик,"- организация, управление автопарком, обеспечение 
  бесперебойной работы транспорта, своевременное 
  проведение ТО
- реализация мероприятий по сокращению запасов 
  запчастей, анализ динамики запасов закупаемых и 
  установленных запчастей
- контроль планирования ремонтов полноты проведения 
  ремонтов
- ведение базы запчастей",главный механик
595,о/у обэп. инспектор обслуживания видеонабл.  спец.  радио и офисной техники,"- выявление и пресечение преступлений экономического характера и обеспечение экономической безопасности
- проведение мероприятий, направленных на борьбу с коррупцией
- проведение проверок документации (ревизий), основной задачей которых является выявление и раскрытие экономических и налоговых преступлений
- обслуживание ПК  и офисной техники, систем 
  видеонаблюдения
",государственный ветеринарный инспектор
596,ветеринарный врач,"осмотр,лечение и профилактика опыт работы с новотельными елрвами, работа с УЗИ сканером, составление схем лечения новотельных живоьных, составление схем лечния и профилактики мастита. Схем вакцинации животных, опыт работы с импортными вакцинами на молочном скоте.",ветеринарный врач
597,"генеральный  директор ооо ""новомихайловское""","Контроль качества выполнения агротехнических мероприятий в полевых условиях: подготовка почвы, внесение удобрений, посев, уборка урожая.
-Планирование и организация полевых работ
-Разработка плана развития отрасли
-Планирование и проведение мероприятий по защите растений
-Организация мероприятий по повышению урожайности
-Составление технологических карт
-Составление заявок на приобретение удобрений, химикатов, семян
-Ведение книги истории полей и других учетных документов, своевременное оформление отчетов и представление их в вышестоящую организацию
-Составление годового плана развития хозяйства  и.т.д","директор (генеральный директор, управляющий) предприятия"
597,главный агроном апк,"Выращиваемые культуры: озимая пшеница, нут, подсолнечник, лен, сафлор. Пашни в обработке 20325га. 





-Контроль качества выполнения агротехнических мероприятий в полевых условиях: подготовка почвы, внесение удобрений, посев, уборка урожая.

-Планирование и организация полевых работ

-Разработка плана развития отрасли

-Планирование и проведение мероприятий по защите растений

-Организация мероприятий по повышению урожайности

-Составление технологических карт

-Составление заявок на приобретение удобрений, химикатов, семян

-Ведение книги истории полей и других учетных документов, своевременное оформление отчетов и представление их в вышестоящую организацию

-Составление годового плана развития хозяйства  и.т.д",главный агроном
597,главный агроном,"Выращиваемые культуры: озимая пшеница, подсолнечник, кукуруза, горох, сахарная свекла, яровый ячмень. Пашни в обработке 10328 га. 





-Контроль качества выполнения агротехнических мероприятий в полевых условиях: подготовка почвы, внесение удобрений, посев, уборка урожая.

-Планирование и организация полевых работ

-Разработка плана развития отрасли

-Планирование и проведение мероприятий по защите растений

-Организация мероприятий по повышению урожайности

-Составление технологических карт

-Составление заявок на приобретение удобрений, химикатов, семян

-Ведение книги истории полей и других учетных документов, своевременное оформление отчетов и представление их в вышестоящую организацию

-Составление годового плана развития хозяйства  и.т.д",главный агроном
597,агроном отделения,"Выращиваемые культуры: озимая пшеница, яровый ячмень, озимый ячмень, подсолнечник, кукуруза, лен, горох, нут, соя, гречиха, горчица, озимый рапс. Пашни в обработке 24000 га. 



-Контроль качества выполнения агротехнических мероприятий в полевых условиях: подготовка почвы, внесение удобрений, посев, уборка урожая.

-Планирование и организация полевых работ

-Разработка плана развития отрасли

-Планирование и проведение мероприятий по защите растений

-Организация мероприятий по повышению урожайности

-Составление технологических карт

-Составление заявок на приобретение удобрений, химикатов, семян

-Ведение книги истории полей и других учетных документов, своевременное оформление отчетов и представление их в вышестоящую организацию

-Составление годового плана развития хозяйства  и.т.д",агроном
598,дорожный рабочий,Строительство дороги Москва-Казань,рабочий плодоовощного хранилища
598,дорожный рабочий,"Обслуживание дорог федерального и местного значения. Установка знаков, ограждений, бордюров, ремонтные работы.",рабочий плодоовощного хранилища
598,фасовщик продукции,"работа на фасовочном оборудовании, укладка в коробки, палеты.","директор (генеральный директор, управляющий) предприятия"
598,дорожный рабочий,"Обслуживание дорог федерального и местного значения. Установка знаков, ограждений, бордюров, ремонтные работы.",рабочий плодоовощного хранилища
598,продавец,"Выкладка товара по планограмме, консультирование покупателей, проверка ротации, ценников.",продавец продовольственных товаров
598,сервисный инженер,"Ремонт, установка, тех. обслуживание Широкоформатного рекламного оборудования Mimaki",инженер
598,оператор линии стеклопакетов,"Наполнение несущей рамки абсорбентом, нанесение на несущие рамки первичной гидроэзоляции.",оператор сушильных установок
598,оператов прессов-грануляторов,"обслуживание прессов-грануляторов фирмы Матадор (замена изношеных частей прессов, смазка основных узлов, предрабочая-подготовительная настройка, последующая эксплуатация)","директор (генеральный директор, управляющий) предприятия"
598,повар холодного цеха,Заготовка полуфабрикатов для сети ресторанов быстрого питания,заведующий производством (шеф-повар)
598,отделочник,Чистовая отделка помещений,"директор (генеральный директор, управляющий) предприятия"
599,ветеринарный врач,"Разработка плана мероприятий по лечению и уходу за животными,лечение,контроль за выполнением правил биологической безопасности,вакцинация животных,осуществлять контроль за карантинными животными,лечение,профилактика заболеваний.В 2013 году был награждён почётной грамотой за добросовестное отношение к трудовым обязанностям и высокий вклад а развитие компании.",ветеринарный врач
600,садовник,"- Уход за рассадой 

- Пикировка

- Рыхление

- Подкормка

- Полив

- Ремонт рассады",садовник
600,менеджер по продажам,"- Работа с клиентами

- Продажа и постановка машины 

- Работа с клиентской базой",менеджер
600,менеджер,"- обучение состава

- Слежка за их выполнением

- Прием  и сдача смены

- Работа с документами",менеджер
601,монтажник волс,"Монтаж оптоволоконной магистрали по опорам города,  подключение  абонентов, установка и настройка оборудования.","директор (генеральный директор, управляющий) предприятия"
601,слесарь-ремонтник 5 разряда механической службы эспц,"Разборка, ремонт, сборка и испытание сложных узлов и механизмов.

Ремонт, монтаж, демонтаж, испытание, регулирование, наладка сложного оборудования, агрегатов и машин и сдача после ремонта.

Слесарная обработка деталей и узлов по 7-10 квалитетам.

Изготовление сложных приспособлений для ремонта и монтажа.

Составление дефектных ведомостей на ремонт.

Выполнение такелажных работ с применением подъемно-транспортных механизмов и специальных приспособлений.",слесарь по обслуживанию и ремонту оборудования
601,"стропальщик ,арматурщик,бетонщик","Строповка строительных материалов,выставление колон, опалубки для плит перекрытия,укладка и вязка арматурной сетки. Сдача объектов.",бетонщик
601,"слесарь по ремонту сельхозтехники,моторист","Своевременное обслуживание и ремонт сельхозтехники,капитальный ремонт двигателей,сезонное техобслуживание-покраска,замена шин,замена изношенных деталей техники.Постоянная готовность техники к работе.",слесарь по обслуживанию и ремонту оборудования
601,машинист буровой установки,"Бурение скважин для производства взрыва в карьерах различной добычи,в горных районах для разработки дорог и прокладки трасс для различных отраслей.",машинист дождевальной установки
601,монтажник кипиа,"Монтаж оборудования КИПиА , монтаж трассы для прокладки кабелей, прокладка кабелей ,монтаж шкафов в операторный зал для установки приборов , обвязка и подключение приборов автоматики.","директор (генеральный директор, управляющий) предприятия"
602,главный инженер,"Руководство инженерной службой предприятия(группа энергетика,гараж, охрана труда, ремонт зданий )Решение вопросов транспортного обеспечения предприятия, организазия ремонта и техобслуживания автопарка; взаимодействие с арендаторами объектов недвижимости",главный инженер
602,заместитель генерального директора по транспортно-складскому хоз-ву,"руководство транспортом предприятия, ремонт и содержание зданий,","директор (генеральный директор, управляющий) предприятия"
602,заместитель директор,Организация торговли автомобильными запасными частями в структурных подразделениях,финансовый директор (заместитель директора по финансам)
602,директор,"руководство транспортным предприятием, организация грузовых и пассажирских перевозок, организация ремонта и ТО транспорта",директор типографии
602,главный инженер,"Руководство инженерной службой хозяйства, организация ремонта, ТО и эксплуатации автотракторной техники хозяйства, охрана труда пожарная безопасность, ремонт и содержание зданий, сооружений, объектов инфраструктуры",главный инженер
603,инженер-технолог,"-Контроль над соблюдением технологических процессов производства 
-Контроль соблюдения норм расхода сырья и материалов
-Актуализация технологических схем
-Бережливое производство
-Разработка и актуализация технологических и операционных инструкций 
-Проведение процедур учета, списания сырья",инженер-технолог (технолог)
604,ветеринарный врач,"Профилактика, лечение болезней с/х животных, проведение и осуществление лечебно-профилактических мероприятий в сроки, определенные инструкциями, наставлениями, рекомендациями по содержанию животных.

Участие во Всероссийской выставке с/х животных в г. Ипатово и г. Москва. По итогам данной выставки занимали призовые места, почетные грамоты и ценные подарки.",ветеринарный врач
605,машинист экскаватора 6 разряда ,Погрузка и выгрузка лома,машинист экскаватора
605,машинист перегружателя лома ,Погрузка и выгрузка лома,машинист по стирке и ремонту спецодежды
605,тракторист-машинист. экскаваторщик,Работа с сельхозтехникой. Пагрузчик и экскаватор,тракторист
606,технолог переработки молока,"# Опыт работы и стажировок в Европейских сыроварнях. Италия и Франция.



# Опыт проектирования цеха и запуска производства сыра 50-11.000 литров. 



# Опыт переезда  из ""кастрюльного"" цеха и организация полноценной сыроварни с переработкой до 7 т/молока. Сыры с плесенью и полутвёрдые сыры. 

# Разработка и реализация проекта мини-сыроварни на базе ресторанов. 

Подбор оборудования. 

Поиск и подбор оптимального сырья. 

Организация технологического процесса. 

Выработка различных сыров. Мягкие, полутвёрдые. 



# Обучение персонала (базовый/продвинутый уровень сыроделия). Мягкие сыры (паста филата), полутвердые (Гауда, российский, эмменталь, брынза, сулугуни). 

# Аудит производства. Корректировка технологического процесса. Решение проблем однотипного вкуса. 

# Создание сыроварни полного цикла с «нуля». Проектирование цеха. Заказ оборудования. Обучение персонала. Запуск производства. Ведение проекта 3 мес после запуска.",инженер-технолог (технолог)
606,технолог-сыродел,"Проектирование будущего цеха. 
Взаимодействие с подрядчиками. Постановка задач для будущего производства. 
Заказ оборудования. 
Поиск сыроваров. 
Поиск сыропригодного молока для выработки сыров. 
Организация рабочего процесса исходя из потребностей ресторана. С минимальными списаниями и потерями. 
Варка сыров:
* типа Паста Филата (моцарелла, Буррата, страчателла)
*полутвердые сыры (скаморца, качокавалло, белпер кнолле, качотта)
* мягкие сыры (брынза, сулугуни)
* йогурт и мацони. 
Обучение сыроваров с «нуля» до продвинутого уровня и самостоятельной работы. 
Введение в ассортимент новых позиций. 
Контроль всего молочного цеха.",инженер-технолог (технолог)
606,главный технолог,"Разработка технологических рецептур всего ассортименты сыров
Управление персоналом 15 человек
Заказ оборудования для лаборатории, производства и камер созревания. 
Участие в разработке макетов упаковки. 
Поиск сыропригодного молока. 
Взаимодействие с итальянскими технологами по технологии сыров.

1. Руководство процессом по выработке сыра.
2. Учет поступающего сырья.
3. Сортировка молока по качеству и определение его пригодности для выработки сыра на основе лабораторных анализов и органолептики.
4. Расчет нормализации молока по содержанию жира и белка и определение необходимого количества бактериальной закваски, химикатов, свертывающего фермента.
5. Определение готовности сырного зерна перед формованием.
6. Контроль за процессом формования и прессования сыра.
7. Руководство и организация труда в цехе. Ведение учета и отчетности. Участие в оценке качества сыров.",главный технолог
606,сыровар,"!!! Опыт переезда  из кастрюльного цеха и организация полноценной сыроварни с переработкой до 1,5 т/молока!!!



Выработка сыров Голландский, кочотта, моцарелла, скаморца, качаковалло, рикотта, сулугуни, брынза, мягкий ""Деревенский""(без заквасочных культур, только на ферменте)

Объем переработки: 500-800 литров коровьего молока в сутки.



- Приёмка молока 

- Подготовка молока (созревание)

- Пастеризация

- Внесение CaCl, заквасочных культур, сычужного фермента

- Определение точки флоукуляции

- Разрезка сгустка/колье

- Дальнейшая работа с сырным зерном, в зависимости от вида сыра

- Контроль за прессованием, посолкой, обсушкой и созреванием сыров

Отправка сыров в фермерские магазины.","директор (генеральный директор, управляющий) предприятия"
606,ученик сыровара,"Выработка сыров: камамбер, бри-де-Шевр,молодой прессованный, Гауда.

Объем переработки: 300-700 литров козьего молока в сутки



Помощь главному сыровару на всех стадиях производства:

- Приёмка молока (работа экспресс-анализатором Ekomilk)

- Подготовка молока (созревание)

- Пастеризация

- Внесение CaCl, заквасочных культур, сычужного фермента

- Определение точки флоукуляции

- Разрезка сгустка/колье

- Дальнейшая работа с сырным зерном, в зависимости от вида сыра

- Контроль за прессованием, посолкой, обсушкой и созреванием сыров



Работал на ферме с профессором, преподавателем ВНИИМС г.Углич, Остроуховым Д.В.","директор (генеральный директор, управляющий) предприятия"
606,директор по работе с клиентами,"Составление необходимого объёма работ под выделенный бюджет клиента, подготовка презентаций и коммерческих предложений, участие в креативной составляющей разработки предложений, подписание договоров, работа с подрядчиками, медиа-планирование, мониторинг конкурентов, сбор отчётной информации о проведённой рекламной кампании.",директор типографии
606,менеджер отдела продаж,"Весь спектр работ клиентского обслуживания связанный с наружной рекламой (Москва, СПб и города ""миллионники""). Обработка запросов. Размещение. Участие в тендерах. Ведение баинговых проектов. Разработка презентационных материалов.",менеджер
606,директор по развитию,"Поиск новых клиентов, мониторинг и аналитика цен на рекламном рынке, участие в тендерах и конкурсах, подготовка презентаций и коммерческих предложений, поддержка отношений с постоянными клиентами, участие в креативной составляющей разработки предложений, подписание договоров, делигирование задач клиентским менеджерам или менеджерам по продукту, или ведение клиента самостоятельно.",начальник отдела социального развития
606,помощник шефа в ресторане,"Помощник шеф-повара. Заготовка и помощь в приготовлении блюд.

Контроль подсобных помещений, остатков.",шеф-инженер
606,помощник руководителя,"Подработка во время учёбы в университете.

Маркетинговые исследования, фокус-группы, политический PR. 

Сбор информации, её обработка, анализ, прогнозирование, написание отчётов.",помощник флориста
607,тракторист,"Вспашка полей,боронование, культивация, дискование, уборка урожая, выполнение текущего ремонта техники  (МТЗ, комбайн ""Дон-1500"", К-700),",тракторист
608,слесарь мср,Сборка деталей,слесарь по обслуживанию и ремонту оборудования
608,слесарь-ремонтник,"Работа на сельхоз технике, а также её ремонт ",слесарь по обслуживанию и ремонту оборудования
608,продавец-кассир,"Продажа алкогольной продукции, в том числе и розлив пива, обслуживание клиентов на кассе",кассир
609,агрохимик,"Налаживание взаимодействия с с/х производителями, выполнение работ по агрохимическому и эколого-токсикологическому обследованию, составление рекомендаций по выращиванию с/х культур, расчет доз удобрений .",агрохимик
609,специалист по защите объектов интеллектуальной собственности,"Поиск клиентов,ведение переговоров и регистрация объектов интеллектуальной собственности.",оценщик интеллектуальной собственности
609,специалист по страхованию,"Оформление полисов всех видов страхования (ОСАГО, КАСКО, страхование спортсменов и пр.) для физлиц и юрлиц в единой системе страхования..
Исполнение: БСО ЦБ РФ и/или электронные.
Помощь в оформлении ДТП",специалист по кадрам
609,менеджер,"Продажа продукции фабрики по линии производства детской мебели, поиск клиентов. Работа в CRM-системе, 1С , IP-телефония, программы MS Office.

Достижения:
-создание и ведение рекламной компании

-обучение сотрудников работе в 1C, CRM, написание скриптов продаж

-открытие складов-партнеров в 12 регионах РФ",менеджер
609,начальник склада,"Производство, покупка, продажа деревянной тары (поддоны)

Полный цикл обеспечения работы склада-цеха по производству/ремонту поддонов: закупка, контроль производства, логистика, работа с кадрами, ведение электронной отчетности и пр. Работа в 1С, MS Office.

Достижения:
-оптимизация рабочих мест

-увеличение продаж

-увеличение клиентской базы",заведующий складом
609,инспектор службы безопасности/ администратор,"Охрана имущества закрытой территории ( коттеджи, госучереждения, жилые комплексы) и проживающих лиц,  видеонаблюдение
встреча гостей,  проверка автомобилей и документов, патрулирование вверенной территории прочие обязанности согласно должностной инструкции.",администратор
609,менеджер по логистике,"Транспортная компания, работающая на базе взаимодействия НКО- выполнение обязанностей, согласно внутреннему распорядку организации.Работа с программами MS Office, 1С, в системе АТИ

Достижения:
-создание сайта компании
-разработка логотипа компании
- участие в создании общества грузоперевозчиков",менеджер
609,инспектор службы безопасности/ администратор,"Охрана имущества закрытой территории ( коттеджи, госучереждения, жилые комплексы) и проживающих лиц,  видеонаблюдение
встреча гостей,  проверка автомобилей и документов, патрулирование вверенной территории прочие обязанности согласно должностной инструкции.",администратор
609,бригадир/ заведующий складом,"- руководство строительными бригадами (60-120чел.);
- ведение первичной документации;- ведение табелей учета рабочего времени;
- выполнение производственных объемов;
- встреча работников, поиск жилья, расселение;
- контроль работы сотрудников;
- контроль соблюдения производственной и трудовой дисциплины;
- решение вопросов с руководством компании;
- помощь в оформлении работников (получение документов в офисе, 
-контроль подписи документов, отправка документов;
- составление межвахтовых отпусков;
- прием/выдача стройматериалов, расходных материалов и строительного оборудования, учет перемещения ТМЦ по строительным обьектам компании Москвы и Подмосковья",заведующий складом
609,мастер-сырьевщик,"Контроль работы линии станков ЧПУ, контроль подачи и замена сырья(АБС пластик), смена форм на оборудовании.
",мастер участка
609,фермер (полная занятость),"Выращивание зерновых и технических культур с последующей обработкой и хранением (переработка, калибровка) животноводствоОпыт восстановления с ""нуля"" и дальнейшее применение в производстве систем очистки и калибровки продукции растениеводства (ЗАВ-20, ЗАВ-40, КЗР-5)

Опыт установки и работы зерноочистительных комплеков на базе ЗАВ и КЗР  ОВС-25, Петкусами К- 547 и К- 236, ОВП-20,

 механизированные полевые работы : Т-150, ДТ-75, МТЗ-82, Т-40 и т.д. , а/м ЗиЛ-130, ГАЗ-53, комбайны ДОН-1500, ""НИВА"", ""Енисей""

Ремонт и обслуживание водонапорной башни Рожновского    ","директор (генеральный директор, управляющий) предприятия"
610,наладчик кипиа,Обеспечение надёжной работы оборудования цеха по производству сыров,"директор (генеральный директор, управляющий) предприятия"
610,слесарь кипиа,Обеспечение бесперебойной работы цеха по производству йогуртов,слесарь по обслуживанию и ремонту оборудования
610,специалист технической службы,"Контроль за состоянием оборудования цеха.Выполнение ппр, а также аварийных ремонтов.",начальник технического отдела
610,электрослесарь кипиа,Контроль и ремонт оборудования кипиа,электрослесарь по обслуживанию и ремонту оборудования
610,аппаратчик по выращиванию монокристаллов сапфира,Выращивание кристаллов искусственного сапфира,консультант по налогам и сборам
610,оператор-наладчик линии производства металлопрофиля,Работа на оборудовании для производства мелаллочерепицы,оператор сушильных установок
610,старший механик,Организация работы службы главного механика,механик
610,наладчик технологического оборудования,Плановый и текущий ремонт оборудования,оператор технологического оборудования в сооружениях защищенного грунта
611,механик,"Должностные обязанности.

Выпуск на линию автотранспорта, своевременный ремонт. Заказ запчастей. Организовывать качественный ремонт транспорта. Контролировать механизаторов. Участвую в приеме и установке нового оборудования, проведении работ по аттестации и рационализации рабочих мест, модернизации и замене малоэффективного оборудования высокопроизводительным, во внедрении средств механизации тяжелых физических и трудоемких работ.

Работа с тяжелой спецтехникой (Бульдозер Четра-20, трубоукладчик, эксковаторы Хундай), грузовые машины ( Камаз, МАN, Урал, ГАЗ), легковые автомобили.

Получил благодарственное письмо от директора предприятия.",механик
611,ведущий механик,"Обеспечиваю безаварийную и надежную работу всех видов оборудования, их правильную эксплуатацию, своевременный качественный ремонт и техническое обслуживание, проведение работ по модернизации и повышение экономичности ремонтного обслуживания оборудования.

Осуществляю технический надзор за состоянием и ремонтом защитных устройств на механическом оборудовании, зданий и сооружений цеха.

Организую подготовку календарных планов (графиков) осмотров, проверок и ремонта оборудования, заявок на централизованное выполнение капитальных ремонтов, на получение необходимых для планово-предупредительных и текущих ремонтов материалов, запасных частей, инструмента и т.п., составлению паспортов на оборудование, спецификаций на запасные части и другой технической документации.

Участвую в приеме и установке нового оборудования, проведении работ по аттестации и рационализации рабочих мест, модернизации и замене малоэффективного оборудования высокопроизводительным, во внедрении средств механизации тяжелых физических и трудоемких работ.",механик
